;mmol/l
;Br
1;0.8116956171117675
2;0.7344525664185166
3;0.6645601638680148
4;0.6013189028038887
5;0.5440958434292867
6;0.4923182781326535
7;0.44546799963745964
8;0.40307611460960263
9;0.36471835081531945
10;0.33001081086206696
11;0.2986061300243861
12;0.27018999970097557
13;0.24447802170856736
14;0.22121286192931938
15;0.20016167482447056
16;0.18111377303792725
17;0.16387851876638893
18;0.14828341579213689
19;0.1341723830829098
20;0.12140419268047176
21;0.10985105624373818
22;0.09939734610010705
23;0.08993843800484752
24;0.08137966402649345
25;0.0736353650783662
26;0.06662803361364412
27;0.06028753790378287
28;0.05455042013660395
29;0.04935926130918153
30;0.04466210655916206
31;0.040411945183039075
32;0.036566240137231816
33;0.03308650231305572
34;0.029937905324786136
35;0.02708893695548449
36;0.024511083772139477
37;0.02217854575364579
38;0.02006797807552126
39;0.018158257467056897
40;0.016430270802523943
41;0.014866723810587387
42;0.013451967987425604
43;0.012171843981244572
44;0.011013539880725865
45;0.009965462989112066
46;0.009017123800601082
47;0.008159031017846478
48;0.007382596559863516
49;0.006680049609628058
50;0.006044358841127973
51;0.005469162047489063
52;0.0049487024658702635
53;0.004477771161846237
54;0.004051654896640825
55;0.0036660889554492376
56;0.0033172144647388383
57;0.0030015397713458263
58;0.0027159054968368033
59;0.0024574529173874817
60;0.0022235953527138257
61;0.0020119922777063377
62;0.001820525897668091
63;0.0016472799527135935
64;0.0014905205391957646
65;0.0013486787562154625
66;0.0012203350035339489
67;0.0011042047737365613
68;0.0009991257964507714
69;0.0009040464059536374
70;0.0008180150157477785
71;0.0007401705947638649
72;0.0006697340498722756
73;0.0006060004284571967
74;0.0005483318630138947
75;0.0004961511871563402
76;0.00044893615914201916
77;0.00040621423510104514
78;0.00036755783965828205
79;0.0003325800866152749
80;0.0003009309068631413
81;0.0002722935447732647
82;0.0002463813880004999
83;0.00022293509897048798
84;0.00020172001934204748
85;0.00018252382146762214
86;0.00016515438334681974
87;0.0001494378658048575
88;0.0001352169726516713
89;0.00012234937640877723
90;0.0001107062938480278
91;0.00010017119708577973
92;9.06386473326682e-05
93;8.20132396267633e-05
94;7.420864798864495e-05
95;6.714676144198496e-05
96;6.075690225264219e-05
97;5.4975118562143963e-05
98;4.974354433599104e-05
99;4.5009820220935424e-05
100;4.072656951497394e-05
101;3.685092400539106e-05
102;3.334409492927742e-05
103;3.017098476255327e-05
104;2.729983595215099e-05
105;2.470191307574957e-05
106;2.2351215248009958e-05
107;2.0224215894975306e-05
108;1.8299627292211246e-05
109;1.6558187510104808e-05
110;1.4982467633998512e-05
111;1.3556697329754551e-05
112;1.22666070089501e-05
113;1.1099285014040197e-05
114;1.0043048394149355e-05
115;9.087325978172296e-06
116;8.222552574940523e-06
117;7.440073241574116e-06
118;6.732056661904346e-06
119;6.091416768029312e-06
120;5.511741820564594e-06
121;4.987230237800488e-06
122;4.51263253152226e-06
123;4.0831987683676715e-06
124;3.6946310308974164e-06
125;3.3430404025927547e-06
126;3.0249080462719245e-06
127;2.737049986384888e-06
128;2.476585242715856e-06
129;2.2409069965649765e-06
130;2.027656500830571e-06
131;1.8346994728753632e-06
132;1.6601047339084804e-06
133;1.5021248810990208e-06
134;1.3591787989812112e-06
135;1.2298358351193763e-06
136;1.1128014816575148e-06
137;1.0069044194495764e-06
138;9.110847951037503e-07
139;8.243836136134989e-07
140;7.459331404131927e-07
141;6.749482167989284e-07
142;6.107184017963177e-07
143;5.52600861828427e-07
144;5.000139370212801e-07
145;4.524313197563301e-07
146;4.0937678720691953e-07
147;3.7041943514016566e-07
148;3.351693652825656e-07
149;3.032737830870282e-07
150;2.7441346684646433e-07
151;2.482995728156513e-07
152;2.2467074436594575e-07
153;2.0329049624029913e-07
154;1.839448477293213e-07
155;1.664401810804169e-07
156;1.5060130370624204e-07
157;1.362696947984055e-07
158;1.2330191879793727e-07
159;1.1156818984400513e-07
160;1.0095107283339542e-07
161;9.134430809052948e-08
162;8.265174788491609e-08
163;7.478639415234644e-08
164;6.766952778902889e-08
165;6.122992080433743e-08
166;5.540312344714288e-08
167;5.01308191710404e-08
168;4.5360240982751714e-08
169;4.1043643332322076e-08
170;3.7137824259607077e-08
171;3.3603693014536044e-08
172;3.040587882374587e-08
173;2.7512376887992436e-08
174;2.489422806736333e-08
175;2.2525229048471326e-08
176;2.0381670092887358e-08
177;1.8442097742108976e-08
178;1.668710010413666e-08
179;1.5099112572734636e-08
180;1.3662242034947487e-08
181;1.236210780748422e-08
182;1.1185697710006222e-08
183;1.0121237834852762e-08
184;9.158074709816057e-09
185;8.28656867461037e-09
186;7.497997403912099e-09
187;6.7844686113961684e-09
188;6.1388410610817116e-09
189;5.554653095442318e-09
190;5.02605796496547e-09
191;4.547765311918419e-09
192;4.114988222669771e-09
193;3.7233953186488927e-09
194;3.36906740645345e-09
195;3.0484582532444417e-09
196;2.7583590948561084e-09
197;2.4958665214056133e-09
198;2.2583534189910432e-09
199;2.043442676652542e-09
200;1.8489833954467738e-09
201;1.673029361527418e-09
202;1.5138195677828222e-09
203;1.3697605890849192e-09
204;1.2394106347550156e-09
205;1.1214651186380368e-09
206;1.014743602365831e-09
207;9.181779811332087e-10
208;8.308017937460413e-10
209;7.517405499528135e-10
210;6.802029782522351e-10
211;6.154731065821215e-10
212;5.569030966303389e-10
213;5.039067600512257e-10
214;4.5595369169561775e-10
215;4.1256396113782615e-10
216;3.733033093706381e-10
217;3.377788025952079e-10
218;3.056348996075255e-10
219;2.7654989342255374e-10
220;2.50232691522583e-10
221;2.2641990250548243e-10
222;2.048731999750148e-10
223;1.85376937290157e-10
224;1.6773598930104e-10
225;1.5177379947086017e-10
226;1.3733061283872037e-10
227;1.2426187713828403e-10
228;1.1243679607010639e-10
229;1.0173702024831101e-10
230;9.205546272015372e-11
231;8.329522720380933e-11
232;7.53686383178136e-11
233;6.819636409637644e-11
234;6.170662200840562e-11
235;5.5834460533806577e-11
236;5.052110910684016e-11
237;4.571338992054635e-11
238;4.136318570537816e-11
239;3.742695815539636e-11
240;3.3865312182268695e-11
241;3.064260163598569e-11
242;2.772657254620982e-11
243;2.5088040313699184e-11
244;2.2700597621029683e-11
245;2.0540350139285715e-11
246;1.8585677385585822e-11
247;1.6817016338022833e-11
248;1.521666564236511e-11
249;1.3768608450954172e-11
250;1.2458352120709449e-11
251;1.127278316588554e-11
252;1.0200036013899125e-11
253;9.229374250690272e-12
254;8.351083167082174e-12
255;7.556372530706186e-12
256;6.837288610402026e-12
257;6.186634572602856e-12
258;5.597898453005962e-12
259;5.065187982645418e-12
260;4.5831716160836456e-12
261;4.147025171512815e-12
262;3.752383548721795e-12
263;3.395297041706036e-12
264;3.0721918086824285e-12
265;2.7798341038794292e-12
266;2.5152979131225645e-12
267;2.2759356693010633e-12
268;2.0593517546263152e-12
269;1.863378524483902e-12
270;1.6860546129176671e-12
271;1.5256053026200392e-12
272;1.380424762964688e-12
273;1.2490599783138678e-12
274;1.1301962057495743e-12
275;1.0226438166844815e-12
276;9.25326390659224e-13
277;8.372699421646278e-13
278;7.57593172667358e-13
279;6.854986502780046e-13
280;6.20264828784684e-13
281;5.612388261760492e-13
282;5.078298903786702e-13
283;4.595034868117196e-13
284;4.157759485852379e-13
285;3.7620963579931804e-13
286;3.404085554969031e-13
287;3.080143984331691e-13
288;2.787029529961677e-13
289;2.521808603880503e-13
290;2.2818267859160986e-13
291;2.064682257373612e-13
292;1.8682017628266002e-13
293;1.6904188594462462e-13
294;1.5295542361806364e-13
295;1.383997905811649e-13
296;1.252293091661786e-13
297;1.1331216476835221e-13
298;1.025290866010609e-13
299;9.277215399368946e-14
300;8.394371628528428e-14
301;7.595541550391965e-14
302;6.872730205041531e-14
303;6.218703453587521e-14
304;5.626915576475449e-14
305;5.0914437617243607e-14
306;4.606928827433957e-14
307;4.1685215852907816e-14
308;3.77183430826167e-14
309;3.4128968167469464e-14
310;3.0881167436884487e-14
311;2.7942435809526665e-14
312;2.52833614715277e-14
313;2.2877331513166953e-14
314;2.070026557792672e-14
315;1.8730374858189837e-14
316;1.6947944025530124e-14
317;1.5335133913078673e-14
318;1.387580297514577e-14
319;1.2555345737206613e-14
320;1.1360546619402806e-14
321;1.027944767057757e-14
322;9.301228889081154e-15
323;8.416099932557716e-15
324;7.615202132908127e-15
325;6.890519835762512e-15
326;6.234800177116906e-15
327;5.641480494232596e-15
328;5.104622644301681e-15
329;4.6188535735178186e-15
330;4.179311541748022e-15
331;3.78159746460316e-15
332;3.4217308859228496e-15
333;3.0961101400323458e-15
334;2.801476305061817e-15
335;2.5348805865610506e-15
336;2.2936548049733768e-15
337;2.0753846915978797e-15
338;1.8778857257767923e-15
339;1.6991812714784544e-15
340;1.5374827944596216e-15
341;1.3911719620135538e-15
342;1.2587844461523622e-15
343;1.1389952681203354e-15
344;1.0306055375611783e-15
345;9.325304536204173e-16
346;8.437884478937994e-16
347;7.634913605607942e-16
348;6.908355513825948e-16
349;6.250938566004748e-16
350;5.656083112365131e-16
351;5.117835639589252e-16
352;4.630809186058345e-16
353;4.190129427330261e-16
354;3.7913858922620017e-16
355;3.4305878215323077e-16
356;3.104124226780896e-16
357;2.808727750623292e-16
358;2.541441965839942e-16
359;2.299591786458843e-16
360;2.0807566945961168e-16
361;1.882746515099385e-16
362;1.703579495538726e-16
363;1.5414624721622722e-16
364;1.3947729233106353e-16
365;1.262042730674861e-16
366;1.1419434858748915e-16
367;1.0332731953020187e-16
368;9.349442501628498e-17
369;8.45972541324918e-17
370;7.654676100217568e-17
371;6.926237358422422e-17
372;6.26711872809914e-17
373;5.670723528458067e-17
374;5.131082835885755e-17
375;4.6427957449514906e-17
376;4.20097531433024e-17
377;3.801199656651372e-17
378;3.439467682763623e-17
379;3.112159057489958e-17
380;2.815997966096435e-17
381;2.5480203288372074e-17
382;2.3055441354481928e-17
383;2.0861426026869032e-17
384;1.8876198862700313e-17
